,t,I
0,0,1.0
1,1,1.3498696159081114
2,2,1.8221288567983707
3,3,2.4595842826399323
4,4,3.3204158140560023
5,5,4.481618518677516
6,6,6.048331452019406
7,7,8.165877915567151
8,8,11.025041395522326
9,9,14.878969718244552
10,10,20.0751584476717
11,11,27.10293227012707
12,12,36.59680301638995
13,13,49.40968298898474
14,14,66.65446271906455
15,15,89.93899973877629
16,16,121.45452985971284
17,17,164.00382367273627
18,18,221.39546781194792
19,19,298.6217024436799
20,20,402.96581091840005
21,21,544.2244779012306
22,22,734.895815402939
23,23,992.0102080279721
24,24,1337.963595713835
25,25,1805.4904962006813
26,26,2438.4832565437605
27,27,3292.8547712853597
28,28,4444.923394351756
29,29,5994.91854387938
30,30,8089.537035786083
31,31,10925.690255584088
32,32,14753.868356989715
33,33,19916.416058006893
34,34,26861.367862388724
35,35,36245.18593593015
36,36,48951.69740380539
37,37,66103.95787236044
38,38,89237.8137190316
39,39,120355.45616260312
40,40,162391.5253684869
41,41,219312.4818945015
42,42,296154.8168239146
43,43,399803.2710523142
44,44,539205.4242377811
45,45,727461.3558957542
46,46,982348.372747727
47,47,1326429.7812161404
48,48,1790468.3652386074
49,49,2414421.2396892225
50,50,3256518.140308097
51,51,4395970.671972808
52,52,5933209.5764516005
53,53,8003866.775910894
54,54,10785436.583210994
55,55,14532377.953938138
56,56,19588590.271072984
57,57,26387584.53886601
58,58,35493379.60331942
59,59,47671398.69153467
60,60,63954907.63309874
61,61,85669567.33397469
62,62,114433433.77650164
63,63,152062883.945145
64,64,201284465.2782658
65,65,265108579.7240341
66,66,346286204.1849485
67,67,447308889.9913871
68,68,569841239.4980515
69,69,714300904.4431437
70,70,879205928.036144
71,71,1058968710.5927148
72,72,1243845411.2965708
73,73,1419935948.199479
74,74,1571573441.6308188
75,75,1689323636.9516914
76,76,1767235470.519531
77,77,1802342963.2752461
78,78,1794676769.6095836
79,79,1747264177.3631306
